,s1,s2,a,r,s_1,s_2
1031,-0.5727775692939758,0.0323941633105278,1.0,-0.1,-0.5400158762931824,0.03276166692376137
1032,-0.5400158762931824,0.03276166692376137,1.0,-0.1,-0.5071311593055725,0.03288474306464195
1033,-0.5071311593055725,0.03288474306464195,2.0,-0.1,-0.47336986660957336,0.03376128897070885
1034,-0.47336986660957336,0.03376128897070885,1.0,-0.1,-0.43998387455940247,0.0333859957754612
1035,-0.43998387455940247,0.0333859957754612,1.0,-0.1,-0.40721842646598816,0.03276544064283371
1036,-0.40721842646598816,0.03276544064283371,1.0,0.0001505419120152609,-0.37530821561813354,0.031910210847854614
1037,-0.37530821561813354,0.031910210847854614,1.0,0.0017119546236854337,-0.34447386860847473,0.03083435632288456
1038,-0.34447386860847473,0.03083435632288456,1.0,0.006158779288934803,-0.31491920351982117,0.02955465018749237
1039,-0.31491920351982117,0.02955465018749237,1.0,0.014494415851046043,-0.28682941198349,0.028089802712202072
1040,-0.28682941198349,0.028089802712202072,1.0,0.02722314450810514,-0.26036977767944336,0.02645963430404663
1041,-0.26036977767944336,0.02645963430404663,1.0,0.04436371685556064,-0.23568546772003174,0.024684300646185875
1042,-0.23568546772003174,0.024684300646185875,1.0,0.06549503927234201,-0.21290186047554016,0.022783607244491577
1043,-0.21290186047554016,0.022783607244491577,1.0,0.08982642686194989,-0.19212542474269867,0.02077643759548664
1044,-0.19212542474269867,0.02077643759548664,1.0,0.11628412593253278,-0.17344509065151215,0.018680330365896225
1045,-0.17344509065151215,0.018680330365896225,2.0,0.14538595552252254,-0.15593388676643372,0.017511198297142982
1046,-0.15593388676643372,0.017511198297142982,1.0,0.1744368156359044,-0.14065410196781158,0.015279794111847878
1047,-0.14065410196781158,0.015279794111847878,1.0,0.20200312086458558,-0.127655029296875,0.012999076396226883
1048,-0.127655029296875,0.012999076396226883,2.0,0.22912389803579425,-0.11597485095262527,0.011680174618959427
1049,-0.11597485095262527,0.011680174618959427,2.0,0.2550438028248491,-0.10564488172531128,0.010329969227313995
1050,-0.10564488172531128,0.010329969227313995,2.0,0.27903485962471475,-0.09669040143489838,0.008954481221735477
1051,-0.09669040143489838,0.008954481221735477,2.0,0.3004209809126529,-0.08913147449493408,0.007558922283351421
1052,-0.08913147449493408,0.007558922283351421,2.0,0.3185992418845699,-0.08298370987176895,0.006147765554487705
1053,-0.08298370987176895,0.006147765554487705,2.0,0.33305790055530865,-0.07825887203216553,0.004724837373942137
1054,-0.07825887203216553,0.004724837373942137,2.0,0.34339072725171105,-0.0749654546380043,0.0032934213522821665
1055,-0.0749654546380043,0.0032934213522821665,2.0,0.3493080469108074,-0.07310907542705536,0.0018563782796263695
